CURRENCYID;EXCHANGE_RATE_TO_BASE
CUR_164;1221.213522
CUR_165;24246.703873
CUR_163;0.685954
CUR_166;15.749115
CUR_1;17.89726
CUR_2;1.030379
CUR_3;0.115021
CUR_4;11.839189
CUR_5;11.392908
CUR_6;2.247599
CUR_7;24.966948
CUR_8;1.706716
CUR_9;19.944544
CUR_10;1.834927
CUR_11;2.307292
CUR_12;4.102575
CUR_13;9.134661
CUR_14;0.295626
CUR_15;0.051588
CUR_16;17.021035
CUR_17;14.182278
CUR_18;0.565227
CUR_19;2.659058
CUR_20;0.581839
CUR_21;0.659752
CUR_22;0.054648
CUR_23;6.258545
CUR_24;0.149072
CUR_25;0.00998
CUR_26;0.325888
CUR_27;2.10572
CUR_28;4.273342
CUR_29;29.689064
CUR_30;1.179952
CUR_31;0.24599
CUR_32;0.852026
CUR_33;0.004905
CUR_34;5.1012
CUR_35;0.312771
CUR_36;0.017044
CUR_37;0.00089
CUR_38;0.012687
CUR_39;0.02618
CUR_40;1.295556
CUR_41;0.664637
CUR_42;6.646813
CUR_43;0.03171
CUR_44;3.474401
CUR_45;0.002655
CUR_46;0.041108
CUR_47;0.000549
CUR_48;0.154118
CUR_49;0.354085
CUR_50;0.036525
CUR_51;0.178394
CUR_52;9.636356
CUR_53;2.301182
CUR_54;5.572142
CUR_55;4.70992
CUR_56;3.419121
CUR_57;6.42803
CUR_58;0.177072
CUR_59;0.181093
CUR_60;0.000161
CUR_61;1.528248
CUR_62;2.587819
CUR_63;0.012493
CUR_64;0.865329
CUR_65;0.947763
CUR_66;0.361953
CUR_67;0.030852
CUR_68;0.019348
CUR_69;1.297045
CUR_70;0.007703
CUR_71;0.184417
CUR_72;0.088728
CUR_73;0.140972
CUR_74;0.344076
CUR_75;1.127019
CUR_76;0.103494
CUR_77;0.211444
CUR_78;0.001661
CUR_79;0.107785
CUR_80;0.04318
CUR_81;0.077834
CUR_82;0.895834
CUR_83;2.332586
CUR_84;1.622937
CUR_85;0.355937
CUR_86;0.010232
CUR_87;0.282075
CUR_88;0.01116
CUR_89;1.150908
CUR_90;0.023672
CUR_91;0.953242
CUR_92;4.831444
CUR_93;0.007143
CUR_94;0.004358
CUR_95;0.008587
CUR_96;0.000644
CUR_97;0.004701
CUR_98;0.290501
CUR_99;9.123996
CUR_100;0.478976
CUR_101;7.991736
CUR_102;0.148088
CUR_103;0.044818
CUR_104;0.104187
CUR_105;0.27886
CUR_106;9.168632
CUR_107;10.210736
CUR_108;7.489813
CUR_109;46.42875
CUR_110;0.006207
CUR_111;18.010901
CUR_112;12.348748
CUR_113;14.021477
CUR_114;0.151257
CUR_115;0.000616
CUR_116;9.328452
CUR_117;0.782681
CUR_118;7.462329
CUR_119;24.180884
CUR_120;23.588604
CUR_121;2.073032
CUR_122;0.073625
CUR_123;0.632238
CUR_124;0.123562
CUR_125;0.013129
CUR_126;1.4e-05
CUR_127;0.091766
CUR_128;21.12685
CUR_129;0.018905
CUR_130;54.201758
CUR_131;20.490208
CUR_132;0.000197
CUR_133;0.003575
CUR_134;0.300704
CUR_135;0.00499
CUR_136;0.953846
CUR_137;0.463739
CUR_138;43.948984
CUR_139;14.197543
CUR_140;3.378019
CUR_141;0.002299
CUR_142;4.713392
CUR_143;3.997608
CUR_144;2.003477
CUR_145;23.420911
CUR_146;0.000613
CUR_147;0.027226
CUR_148;0.000729
CUR_149;0.132382
CUR_150;1.505742
CUR_151;5.118722
CUR_152;7.529326
CUR_153;2.174084
CUR_154;0.001523
CUR_155;0.143778
CUR_156;6.553231
CUR_157;0.140015
CUR_158;0.066922
CUR_159;0.819597
CUR_160;1068.41772
CUR_161;5.754948
CUR_162;1.014196
