GAMEID;GAMETYPE;THEMES;MECHANICS
GAME_11344;TYPE_1;"[
  ""THEME_24"",
  ""THEME_70"",
  ""THEME_96""
]";[]
GAME_11373;TYPE_2;"[
  ""THEME_24"",
  ""THEME_70"",
  ""THEME_96""
]";[]
GAME_11317;TYPE_3;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_70""
]";[]
GAME_11318;TYPE_3;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_70""
]";[]
GAME_11364;TYPE_4;"[
  ""THEME_24"",
  ""THEME_70"",
  ""THEME_96""
]";[]
GAME_12237;TYPE_5;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_70""
]";[]
GAME_12238;TYPE_5;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_70""
]";[]
GAME_11639;TYPE_6;"[
  ""THEME_3"",
  ""THEME_8"",
  ""THEME_91""
]";[]
GAME_12252;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11714;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11715;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11716;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11717;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11718;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11719;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_12253;TYPE_6;"[
  ""THEME_24"",
  ""THEME_75"",
  ""THEME_78""
]";[]
GAME_9112;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_9113;TYPE_6;"[
  ""THEME_14"",
  ""THEME_24"",
  ""THEME_38""
]";[]
GAME_9114;TYPE_6;"[
  ""THEME_1"",
  ""THEME_113"",
  ""THEME_53""
]";"[
  ""MECH_14""
]"
GAME_9115;TYPE_6;"[
  ""THEME_14"",
  ""THEME_24"",
  ""THEME_38""
]";[]
GAME_9116;TYPE_6;"[
  ""THEME_1"",
  ""THEME_113"",
  ""THEME_53""
]";"[
  ""MECH_14""
]"
GAME_12284;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";[]
GAME_12285;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_60""
]";[]
GAME_12359;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_12360;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_12361;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_12245;TYPE_6;"[
  ""THEME_24"",
  ""THEME_60"",
  ""THEME_78""
]";[]
GAME_12246;TYPE_6;"[
  ""THEME_24"",
  ""THEME_60"",
  ""THEME_78""
]";[]
GAME_12247;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_12248;TYPE_6;"[
  ""THEME_24"",
  ""THEME_75"",
  ""THEME_78""
]";[]
GAME_9111;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_12254;TYPE_6;"[
  ""THEME_24"",
  ""THEME_75"",
  ""THEME_78""
]";[]
GAME_12255;TYPE_6;"[
  ""THEME_24"",
  ""THEME_75"",
  ""THEME_78""
]";[]
GAME_12249;TYPE_6;"[
  ""THEME_24"",
  ""THEME_75"",
  ""THEME_78""
]";[]
GAME_12250;TYPE_6;"[
  ""THEME_24"",
  ""THEME_75"",
  ""THEME_78""
]";[]
GAME_12251;TYPE_6;"[
  ""THEME_117"",
  ""THEME_24"",
  ""THEME_78""
]";[]
GAME_11644;TYPE_6;"[
  ""THEME_55"",
  ""THEME_77"",
  ""THEME_84""
]";[]
GAME_10820;TYPE_7;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_77""
]";"[
  ""MECH_18"",
  ""MECH_61""
]"
GAME_5394;TYPE_7;"[
  ""THEME_128"",
  ""THEME_3"",
  ""THEME_50""
]";"[
  ""MECH_116"",
  ""MECH_139"",
  ""MECH_180"",
  ""MECH_185"",
  ""MECH_34"",
  ""MECH_36"",
  ""MECH_46"",
  ""MECH_69""
]"
GAME_10822;TYPE_7;"[
  ""THEME_62"",
  ""THEME_64"",
  ""THEME_84""
]";"[
  ""MECH_18"",
  ""MECH_61""
]"
GAME_10823;TYPE_7;"[
  ""THEME_3"",
  ""THEME_71"",
  ""THEME_8""
]";"[
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10824;TYPE_7;"[
  ""THEME_60"",
  ""THEME_67"",
  ""THEME_8""
]";"[
  ""MECH_126"",
  ""MECH_168"",
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10825;TYPE_7;"[
  ""THEME_3"",
  ""THEME_71"",
  ""THEME_8""
]";"[
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10826;TYPE_7;"[
  ""THEME_24"",
  ""THEME_68"",
  ""THEME_77""
]";"[
  ""MECH_126"",
  ""MECH_168"",
  ""MECH_179"",
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10827;TYPE_7;"[
  ""THEME_14"",
  ""THEME_67"",
  ""THEME_8""
]";[]
GAME_10828;TYPE_7;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_77""
]";"[
  ""MECH_18"",
  ""MECH_61""
]"
GAME_10829;TYPE_7;"[
  ""THEME_129"",
  ""THEME_60"",
  ""THEME_85""
]";"[
  ""MECH_18"",
  ""MECH_61""
]"
GAME_10830;TYPE_7;"[
  ""THEME_62"",
  ""THEME_64"",
  ""THEME_84""
]";"[
  ""MECH_18"",
  ""MECH_61""
]"
GAME_10831;TYPE_7;"[
  ""THEME_3"",
  ""THEME_71"",
  ""THEME_8""
]";"[
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10832;TYPE_7;"[
  ""THEME_60"",
  ""THEME_67"",
  ""THEME_8""
]";"[
  ""MECH_126"",
  ""MECH_168"",
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10833;TYPE_7;"[
  ""THEME_3"",
  ""THEME_71"",
  ""THEME_8""
]";"[
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10834;TYPE_7;"[
  ""THEME_24"",
  ""THEME_68"",
  ""THEME_77""
]";"[
  ""MECH_126"",
  ""MECH_168"",
  ""MECH_179"",
  ""MECH_185"",
  ""MECH_61""
]"
GAME_10835;TYPE_7;"[
  ""THEME_14"",
  ""THEME_67"",
  ""THEME_8""
]";[]
GAME_10836;TYPE_7;"[
  ""THEME_122"",
  ""THEME_3"",
  ""THEME_60""
]";"[
  ""MECH_176"",
  ""MECH_189"",
  ""MECH_22"",
  ""MECH_27"",
  ""MECH_34"",
  ""MECH_64""
]"
GAME_10837;TYPE_7;"[
  ""THEME_122"",
  ""THEME_3"",
  ""THEME_60""
]";"[
  ""MECH_176"",
  ""MECH_189"",
  ""MECH_22"",
  ""MECH_27"",
  ""MECH_34"",
  ""MECH_64""
]"
GAME_11635;TYPE_7;"[
  ""THEME_24"",
  ""THEME_78"",
  ""THEME_86""
]";[]
GAME_11636;TYPE_7;"[
  ""THEME_125"",
  ""THEME_78"",
  ""THEME_86""
]";[]
GAME_12345;TYPE_7;"[
  ""THEME_24"",
  ""THEME_28"",
  ""THEME_77""
]";[]
GAME_11638;TYPE_7;"[
  ""THEME_22"",
  ""THEME_77"",
  ""THEME_86""
]";[]
GAME_11640;TYPE_7;"[
  ""THEME_3"",
  ""THEME_4"",
  ""THEME_8""
]";[]
GAME_11641;TYPE_7;"[
  ""THEME_3"",
  ""THEME_77"",
  ""THEME_86""
]";[]
GAME_11642;TYPE_7;"[
  ""THEME_102"",
  ""THEME_22"",
  ""THEME_92""
]";[]
GAME_11643;TYPE_7;"[
  ""THEME_34"",
  ""THEME_89"",
  ""THEME_92""
]";[]
GAME_11645;TYPE_7;"[
  ""THEME_55"",
  ""THEME_77"",
  ""THEME_84""
]";[]
GAME_11646;TYPE_7;"[
  ""THEME_77"",
  ""THEME_8"",
  ""THEME_91""
]";[]
